spend,impr,clicks,conversions,cpm,ctr,conv_rate,cpa,cpc
3266.66666634,1098000,452376,104951.232,2.975,0.412,0.232,0.031125567600197395,0.0072211316832457954
7749.999999689999,3024000,1300320,317278.08,2.5625,0.43,0.244,0.024426521995121752,0.0059600713668097076
11733.333330399999,9697000,14351560,2547401.9,1.21,1.48,0.1775,0.004606000070267671,0.0008175650124725117
12933.333330099998,10778000,11748020,1585982.7000000002,1.2,1.09,0.135,0.008154775793014638,0.0011008947320569763
9299.999996999999,6739000,6941170,884999.175,1.38,1.03,0.1275,0.010508484368926105,0.0013398317570380784
9093.333330399999,8828000,9004560,1271894.0999999999,1.03,1.02,0.14125,0.007149442182647125,0.0010098587082989063
8126.666666360001,6065000,6368250,843793.125,1.34,1.05,0.1325,0.009631112681037784,0.0012761224302375064
7596.666666380001,6844000,9650040,1785257.4,1.11,1.41,0.185,0.0042552220572674845,0.0007872160805944846
7049.9999997,6845000,7529500,1148248.75,1.03,1.1,0.1525,0.006139784606514921,0.0009363171524935255
7049.9999997,2350000,1170300,256295.7,3.0,0.498,0.219,0.027507289430528877,0.0060240963852858246
3726.66666638,1258000,556036,113431.344,2.9625,0.442,0.204,0.032853940850599464,0.00670220393352229
2833.33333305,918000,376380,90331.2,3.0875,0.41,0.24,0.03136605439814815,0.007527853055555555
