spend,impr,clicks,conversions,cpm,ctr,conv_rate,cpa,cpc
3033.33333303,982000,477252,108336.204,3.0875,0.486,0.227,0.027999258059937197,0.006355831579605743
7416.666666369999,2602000,1092840,257910.24,2.85,0.42,0.236,0.028756774707239228,0.006786598830908458
11333.3333305,9605000,10277350,1336055.5,1.18,1.07,0.13,0.008482681543169427,0.0011027486006120254
11466.666663799999,7748000,10459800,1699717.5,1.48,1.35,0.1625,0.006746219100409332,0.0010962606038165165
9506.666663599999,6695000,8234850,1379337.375,1.42,1.23,0.1675,0.0068921982655621135,0.001154443209481654
8989.9999971,7192000,8990000,1123750.0,1.25,1.25,0.125,0.007999999997419354,0.0009999999996774193
8744.99999967,7539000,8669850,1603922.25,1.16,1.15,0.185,0.005452259297275788,0.0010086679699960208
7508.33333305,6826000,9965960,1544723.8,1.1,1.46,0.155,0.00486063161132754,0.0007533978997557686
6971.666666370001,6225000,7158750,984328.1250000001,1.12,1.15,0.1375,0.007082665311803419,0.0009738664803729702
7284.999999690001,2408000,1136576,254593.024,3.025,0.472,0.224,0.028614295416397584,0.0064096021732730595
4116.66666635,1372000,576240,115824.24,3.0,0.42,0.201,0.03554235854558597,0.00714401406766278
3033.33333303,978000,481176,111632.83200000001,3.1,0.492,0.232,0.02717241226156477,0.006303999644683027
